algorithm,file_name,number_of_nodes,number_of_leaf_nodes,time_taken
exact_exponential,random_graph_1.txt,10,6,0.001
exact_exponential,random_graph_2.txt,11,6,0.002
exact_exponential,random_graph_3.txt,12,5,0.001
exact_exponential,random_graph_4.txt,13,7,0.004
exact_exponential,random_graph_5.txt,14,9,0.011
exact_exponential,random_graph_6.txt,15,9,0.004
exact_exponential,random_graph_7.txt,16,9,0.023
exact_exponential,random_graph_8.txt,17,9,0.012
exact_exponential,random_graph_9.txt,18,9,0.012
exact_exponential,random_graph_10.txt,19,8,0.017
exact_exponential,random_graph_11.txt,20,10,0.003
exact_exponential,random_graph_12.txt,21,12,0.113
exact_exponential,random_graph_13.txt,22,10,0.007
exact_exponential,random_graph_14.txt,23,14,0.271
exact_exponential,random_graph_15.txt,24,13,0.016
exact_exponential,random_graph_16.txt,25,16,0.017
exact_exponential,random_graph_17.txt,26,17,0.177
exact_exponential,random_graph_18.txt,27,13,0.054
exact_exponential,random_graph_19.txt,28,18,2.797
exact_exponential,random_graph_20.txt,29,14,0.038
exact_exponential,random_graph_21.txt,30,17,0.611
exact_exponential,random_graph_22.txt,31,20,0.478
exact_exponential,random_graph_23.txt,32,19,0.175
exact_exponential,random_graph_24.txt,33,22,17.279
exact_exponential,random_graph_25.txt,34,22,55.663
exact_exponential,random_graph_26.txt,35,22,60.717
exact_exponential,random_graph_27.txt,36,26,96.701
exact_exponential,random_graph_28.txt,37,28,100.047
exact_exponential,random_graph_29.txt,38,25,209.036
exact_exponential,random_graph_30.txt,39,29,329.883
exact_exponential,random_graph_31.txt,40,28,469.254
2_Approximation,random_graph_1.txt,10,5,0.0
2_Approximation,random_graph_2.txt,11,6,0.0
2_Approximation,random_graph_3.txt,12,5,0.0
2_Approximation,random_graph_4.txt,13,7,0.0
2_Approximation,random_graph_5.txt,14,7,0.0
2_Approximation,random_graph_6.txt,15,9,0.0
2_Approximation,random_graph_7.txt,16,9,0.0
2_Approximation,random_graph_8.txt,17,9,0.0
2_Approximation,random_graph_9.txt,18,9,0.0
2_Approximation,random_graph_10.txt,19,8,0.0
2_Approximation,random_graph_11.txt,20,10,0.0
2_Approximation,random_graph_12.txt,21,12,0.0
2_Approximation,random_graph_13.txt,22,10,0.0
2_Approximation,random_graph_14.txt,23,12,0.0
2_Approximation,random_graph_15.txt,24,12,0.0
2_Approximation,random_graph_16.txt,25,15,0.0
2_Approximation,random_graph_17.txt,26,16,0.0
2_Approximation,random_graph_18.txt,27,13,0.0
2_Approximation,random_graph_19.txt,28,17,0.0
2_Approximation,random_graph_20.txt,29,14,0.0
2_Approximation,random_graph_21.txt,30,16,0.0
2_Approximation,random_graph_22.txt,31,16,0.0
2_Approximation,random_graph_23.txt,32,19,0.0
2_Approximation,random_graph_24.txt,33,21,0.0
2_Approximation,random_graph_25.txt,34,20,0.0
2_Approximation,random_graph_26.txt,35,19,0.0
2_Approximation,random_graph_27.txt,36,22,0.0
2_Approximation,random_graph_28.txt,37,24,0.0
2_Approximation,random_graph_29.txt,38,21,0.0
2_Approximation,random_graph_30.txt,39,27,0.0
2_Approximation,random_graph_31.txt,40,25,0.0
Priority-BFS,random_graph_1.txt,10,6,2.5510787963867188e-05
Priority-BFS,random_graph_2.txt,11,5,1.2636184692382812e-05
Priority-BFS,random_graph_3.txt,12,5,1.0728836059570312e-05
Priority-BFS,random_graph_4.txt,13,6,1.239776611328125e-05
Priority-BFS,random_graph_5.txt,14,8,1.2636184692382812e-05
Priority-BFS,random_graph_6.txt,15,9,1.430511474609375e-05
Priority-BFS,random_graph_7.txt,16,8,1.71661376953125e-05
Priority-BFS,random_graph_8.txt,17,9,2.3603439331054688e-05
Priority-BFS,random_graph_9.txt,18,9,2.6464462280273438e-05
Priority-BFS,random_graph_10.txt,19,7,2.5272369384765625e-05
Priority-BFS,random_graph_11.txt,20,10,2.0503997802734375e-05
Priority-BFS,random_graph_12.txt,21,12,2.2649765014648438e-05
Priority-BFS,random_graph_13.txt,22,10,1.8835067749023438e-05
Priority-BFS,random_graph_14.txt,23,13,2.4557113647460938e-05
Priority-BFS,random_graph_15.txt,24,11,2.1457672119140625e-05
Priority-BFS,random_graph_16.txt,25,16,2.6464462280273438e-05
Priority-BFS,random_graph_17.txt,26,17,2.6226043701171875e-05
Priority-BFS,random_graph_18.txt,27,12,2.288818359375e-05
Priority-BFS,random_graph_19.txt,28,14,2.4318695068359375e-05
Priority-BFS,random_graph_20.txt,29,13,3.743171691894531e-05
Priority-BFS,random_graph_21.txt,30,16,2.9325485229492188e-05
Priority-BFS,random_graph_22.txt,31,18,2.8371810913085938e-05
Priority-BFS,random_graph_23.txt,32,19,2.7418136596679688e-05
Priority-BFS,random_graph_24.txt,33,18,3.266334533691406e-05
Priority-BFS,random_graph_25.txt,34,18,3.361701965332031e-05
Priority-BFS,random_graph_26.txt,35,20,3.361701965332031e-05
Priority-BFS,random_graph_27.txt,36,24,3.6716461181640625e-05
